"X","video_group","spike_experience1","spike_experience2","gender","age","sports","distracted","sound","video","excitement_score","understanding_score","positive_hw","negative_hw","num_touches","num_poss_changes","point_duration","num_body_blocks","num_dives","commentary","scoreboard","jersey","fans_cheering","slowmo_replay","new_rules","control","spike_ordered_id","control_diff"
94,6,"Experienced player","","Male","18-25","Basketball, American Football, Golf","No","Sound on",20,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,32,7
95,6,"Experienced player","Watch sports at least semi-regularly","Male","26-35","Basketball, American Football, Spikeball","No","Sound on",20,10,1,"Athleticism of the players, Good production value","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,33,6
96,6,"Experienced player","","Male","36 & older","Basketball, Tennis, American Football","No","Sound on",20,9,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,34,4
97,6,"Experienced player","","Male","18-25","Soccer, Basketball, American Football","No","Sound on",20,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,35,0
98,6,"Experienced player","","Male","18-25","Soccer, Basketball, American Football","No","Sound on",20,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,36,0
147,11,"Have played some/familiar with the game","","Male","18-25","Soccer, Basketball, Badminton","No","Sound on",20,8,1,"Athleticism of the players, Length of point","Point was predictable",20,7,15.99,1,2,0,0,1,0,0,0,0,37,2
148,11,"Experienced player","","Male","18-25","Basketball, American Football, Golf","No","Sound on",20,8,1,"Athleticism of the players","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,38,2
149,11,"Experienced player","","Male","18-25","Basketball, American Football, Ultimate frisbee","No","Sound on",20,8,1,"Uncertainty of who will win the point, Length of point, Good sets/skill","Team A's uniform decision",20,7,15.99,1,2,0,0,1,0,0,0,0,39,2
150,11,"Have played some/familiar with the game","","Male","18-25","Volleyball, Gymnastics, padel","No","Sound on",20,8,2,"Uncertainty of who will win the point, Athleticism of the players, Length of point, bodyblocks, dives, long rally","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,40,5
151,11,"Have played some/familiar with the game","","Male","13-17","American Football","No","Sound on",20,7,8,"High pace and energy of the point, Uncertainty of who will win the point, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,41,1
152,11,"Have played some/familiar with the game","","Female","18-25","Basketball, Volleyball","No","Sound on",20,7,7,"High pace and energy of the point, Athleticism of the players","Poor production value, Difficult to understand",20,7,15.99,1,2,0,0,1,0,0,0,0,42,1
153,11,"Have played some/familiar with the game","","Male","18-25","Basketball, Tennis, American Football","No","Sound on",20,8,3,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,43,2
154,11,"Have played some/familiar with the game","","Male","18-25","","No","Sound on",20,8,5,"High pace and energy of the point, Uncertainty of who will win the point, Length of point","Difficult to understand",20,7,15.99,1,2,0,0,1,0,0,0,0,44,2
155,11,"Experienced player","Watch sports at least semi-regularly","Male","18-25","American Football, Volleyball, Hockey","No","Sound off",20,7,2,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players","",20,7,15.99,1,2,0,0,1,0,0,0,0,45,1
156,11,"Experienced player","","Male","18-25","Basketball, Baseball, American Football","No","Sound on",20,7,1,"Uncertainty of who will win the point, Athleticism of the players","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,46,2
157,11,"Experienced player","","Male","18-25","Soccer, Basketball, American Football","No","Sound on",20,9,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,47,8
158,11,"Experienced player","","Male","18-25","Baseball, American Football, Hockey","No","Sound on",20,7,1,"Uncertainty of who will win the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,48,4
235,19,"Experienced player","","Male","18-25","Basketball, American Football, Volleyball","No","Sound on",20,9,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players","",20,7,15.99,1,2,0,0,1,0,0,0,0,49,1
236,19,"Experienced player","Watch sports at least semi-regularly","Male","26-35","Basketball, American Football, Hockey","No","Sound on",20,8,6,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,50,5
237,19,"Experienced player","","Male","18-25","Soccer, Tennis, Hockey","Yes","Sound on",20,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,51,6
42,2,"Have played some/familiar with the game","","Male","18-25","American Football","No","Sound on",19,9,1,"High pace and energy of the point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,52,3
43,2,"Have played some/familiar with the game","Watch sports at least semi-regularly","Male","18-25","Basketball, Tennis, American Football","No","Sound on",19,8,1,"Uncertainty of who will win the point, Athleticism of the players","",20,7,15.99,1,2,0,0,1,0,0,0,0,53,4
44,2,"Have played some/familiar with the game","Watch sports at least semi-regularly","Male","18-25","Basketball, American Football, Golf, Hockey","Yes","Sound off",19,6,5,"","",20,7,15.99,1,2,0,0,1,0,0,0,0,54,3
45,2,"Have played some/familiar with the game","","Male","18-25","Basketball, Tennis, Volleyball","No","Sound on",19,8,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players","",20,7,15.99,1,2,0,0,1,0,0,0,0,55,1
46,2,"Experienced player","Watch sports at least semi-regularly","Male","18-25","Basketball, Tennis, American Football, Volleyball","No","Sound on",19,9,9,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players","",20,7,15.99,1,2,0,0,1,0,0,0,0,56,-1
47,2,"Have played some/familiar with the game","","Male","18-25","Basketball, Baseball, American Football","No","Sound on",19,10,2,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,57,0
63,4,"Never played, unfamiliar with game","Watch sports at least semi-regularly","Male","18-25","Basketball, fencing","No","Sound on",19,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,58,1
64,4,"Have played some/familiar with the game","","Male","18-25","Soccer, Basketball, Golf","No","Sound on",19,9,1,"High pace and energy of the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,59,1
65,4,"Have played some/familiar with the game","","Male","18-25","Basketball, Baseball, American Football","No","Sound on",19,8,2,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,60,1
66,4,"Have played some/familiar with the game","","Male","13-17","Basketball, American Football","No","Sound on",19,7,2,"Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,61,2
67,4,"Experienced player","","Male","26-35","Baseball, Hockey ","No","Sound on",19,8,1,"Athleticism of the players, Length of point","If there offense was better the rally should be over sinner",20,7,15.99,1,2,0,0,1,0,0,0,0,62,4
68,4,"Have played some/familiar with the game","Watch sports at least semi-regularly","Male","18-25","Basketball, Baseball, American Football","No","Sound on",19,7,1,"High pace and energy of the point, Athleticism of the players, Length of point","Point was predictable",20,7,15.99,1,2,0,0,1,0,0,0,0,63,0
69,4,"Have played some/familiar with the game","Watch sports at least semi-regularly","Male","26-35","Soccer, Basketball, American Football","Yes","Sound on",19,9,2,"Uncertainty of who will win the point, Athleticism of the players","",20,7,15.99,1,2,0,0,1,0,0,0,0,64,-1
70,4,"Have played some/familiar with the game","","Female","18-25","Basketball","No","Sound on",19,9,5,"High pace and energy of the point, Athleticism of the players","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,65,0
71,4,"Experienced player","Watch sports at least semi-regularly","Male","26-35","Basketball, American Football, Fighting","No","Sound on",19,7,1,"High pace and energy of the point, Athleticism of the players","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,66,4
72,4,"Have played some/familiar with the game","","Male","36 & older","Soccer, Basketball, American Football","No","Sound on",19,6,2,"Uncertainty of who will win the point, Length of point","While the athleticism was good there wasn’t a “wow” moment ",20,7,15.99,1,2,0,0,1,0,0,0,0,67,-1
73,4,"Experienced player","Watch sports at least semi-regularly","Male","18-25","Soccer, Basketball, American Football","No","Sound on",19,9,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,68,3
74,4,"Experienced player","Watch sports at least semi-regularly","Male","18-25","Basketball, Baseball, American Football","No","Sound on",19,5,1,"Length of point, Good production value","Slow Pace, Seems staged",20,7,15.99,1,2,0,0,1,0,0,0,0,69,-1
75,4,"Experienced player","Watch sports at least semi-regularly","Male","36 & older","Basketball","No","Sound on",19,7,1,"Athleticism of the players, Length of point","Slow Pace, Point was predictable",20,7,15.99,1,2,0,0,1,0,0,0,0,70,1
76,4,"Experienced player","","Male","18-25","Soccer, Basketball, Baseball","No","Sound on",19,8,3,"Uncertainty of who will win the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,71,-1
77,4,"Experienced player","","Male","18-25","Basketball, Golf, Hockey","No","Sound on",19,6,10,"Uncertainty of who will win the point, Length of point","Slow Pace, Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,72,-4
108,8,"Experienced player","","Male","18-25","Soccer, Basketball, American Football","No","Sound off",19,9,9,"Uncertainty of who will win the point, Athleticism of the players, Length of point","Slow Pace",20,7,15.99,1,2,0,0,1,0,0,0,0,73,2
109,8,"Have played some/familiar with the game","","Male","18-25","","No","Sound off",19,8,2,"High pace and energy of the point","",20,7,15.99,1,2,0,0,1,0,0,0,0,74,2
110,8,"Never played, unfamiliar with game","Watch sports at least semi-regularly","Female","18-25","Baseball, American Football, Volleyball","No","Sound on",19,8,4,"High pace and energy of the point, Uncertainty of who will win the point","",20,7,15.99,1,2,0,0,1,0,0,0,0,75,3
111,8,"Experienced player","","Male","18-25","Soccer, Volleyball, Handball","No","Sound on",19,9,1,"High pace and energy of the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,76,7
112,8,"Have played some/familiar with the game","","Male","18-25","Soccer, Basketball, American Football","No","Sound on",19,8,1,"Uncertainty of who will win the point, Athleticism of the players","Slow Pace",20,7,15.99,1,2,0,0,1,0,0,0,0,77,1
113,8,"Have played some/familiar with the game","Do not/rarely watch sports","Female","18-25","Basketball, Volleyball","Yes","Sound off",19,8,1,"High pace and energy of the point, Athleticism of the players","Point was too short/long",20,7,15.99,1,2,0,0,1,0,0,0,0,78,2
114,8,"Have played some/familiar with the game","","Male","18-25","Soccer, Tennis, Volleyball","No","Sound on",19,8,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,79,1
115,8,"Experienced player","","Male","36 & older","Basketball, American Football","No","Sound on",19,7,1,"Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","Slow Pace, Predictive shots",20,7,15.99,1,2,0,0,1,0,0,0,0,80,5
116,8,"Experienced player","Watch sports at least semi-regularly","Prefer not to say","18-25","Basketball, Tennis, American Football","No","Sound off",19,2,1,"Athleticism of the players, Length of point, Good production value","Point was predictable, Sloppy plays/looks scripted ",20,7,15.99,1,2,0,0,1,0,0,0,0,81,-2
117,8,"Experienced player","Watch sports at least semi-regularly","Male","18-25","Soccer, Tennis, American Football","No","Sound on",19,7,1,"Athleticism of the players, Length of point","Slow Pace, Point was predictable",20,7,15.99,1,2,0,0,1,0,0,0,0,82,3
118,8,"Have played some/familiar with the game","","Male","18-25","Basketball, Volleyball","Yes","Sound on",19,8,1,"High pace and energy of the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,83,2
131,10,"Experienced player","","Male","18-25","","No","Sound on",19,7,1,"Uncertainty of who will win the point","Slow Pace",20,7,15.99,1,2,0,0,1,0,0,0,0,84,3
132,10,"Experienced player","","Male","18-25","American Football, Golf, Ice Hockey, Formula 1","No","Sound off",19,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,85,3
133,10,"Never played, unfamiliar with game","Do not/rarely watch sports","Female","18-25","Basketball, Baseball, American Football","No","Sound on",19,9,8,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players","Point was too short/long",20,7,15.99,1,2,0,0,1,0,0,0,0,86,4
134,10,"Experienced player","","Male","18-25","American Football, Golf, Ice Hockey, Formula 1","No","Sound off",19,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,87,3
135,10,"Never played, unfamiliar with game","Watch sports at least semi-regularly","Male","36 & older","Basketball, Baseball, American Football","No","Sound on",19,10,1,"High pace and energy of the point, Athleticism of the players","",20,7,15.99,1,2,0,0,1,0,0,0,0,88,5
136,10,"Never played, unfamiliar with game","Watch sports at least semi-regularly","Female","36 & older","Basketball, Baseball, American Football","No","Sound on",19,9,2,"Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,89,5
137,10,"Experienced player","Watch sports at least semi-regularly","Male","18-25","Soccer, Basketball, American Football","No","Sound off",19,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,90,4
138,10,"Have played some/familiar with the game","","Male","13-17","Basketball, Baseball, American Football","No","Sound on",19,7,1,"High pace and energy of the point, Athleticism of the players, Good production value","Point was predictable",20,7,15.99,1,2,0,0,1,0,0,0,0,91,-1
139,10,"Experienced player","","Male","13-17","Basketball, Volleyball","No","Sound off",19,9,1,"Uncertainty of who will win the point","",20,7,15.99,1,2,0,0,1,0,0,0,0,92,1
140,10,"Experienced player","","Male","18-25","Wrestling","No","Sound on",19,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,93,0
141,10,"Never played, unfamiliar with game","Watch sports at least semi-regularly","Male","18-25","Volleyball, Badminton","No","Sound on",19,8,2,"High pace and energy of the point, Uncertainty of who will win the point, Length of point, Although not my taste, background music is important","",20,7,15.99,1,2,0,0,1,0,0,0,0,94,5
142,10,"Have played some/familiar with the game","","Male","18-25","Basketball, Baseball","No","Sound on",19,8,3,"High pace and energy of the point, Uncertainty of who will win the point","",20,7,15.99,1,2,0,0,1,0,0,0,0,95,1
143,10,"Experienced player","","Male","18-25","Soccer, Basketball, American Football","No","Sound on",19,8,9,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,96,1
144,10,"Experienced player","","Male","18-25","Basketball, Baseball, Tennis","No","Sound on",19,8,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","Seemed somewhat rehearsed",20,7,15.99,1,2,0,0,1,0,0,0,0,97,3
145,10,"Experienced player","","Female","18-25","","No","Sound on",19,8,2,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,98,2
146,10,"Experienced player","","Male","18-25","Basketball, Baseball, American Football","No","Sound on",19,7,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,19.7,0,1,0,0,1,0,0,0,0,99,1
1,1,"Experienced player","","Male","18-25","","No","Sound off",18,9,2,"High pace and energy of the point, Athleticism of the players","",20,7,19.7,0,1,0,0,1,0,0,0,0,100,-1
2,1,"Have played some/familiar with the game","","Female","18-25","","No","Sound on",18,7,3,"High pace and energy of the point, Athleticism of the players","",20,7,19.7,0,1,0,0,1,0,0,0,0,101,0
3,1,"Have played some/familiar with the game","","Female","18-25","Basketball, Volleyball, Ice hockey ","No","Sound on",18,8,8,"High pace and energy of the point, Athleticism of the players","Poor production value, Could not see the ball for majority of video ",20,7,19.7,0,1,0,0,1,0,0,0,0,102,2
4,1,"Never played, unfamiliar with game","Do not/rarely watch sports","Male","18-25","Basketball, Tennis, American Football","No","Sound on",18,8,5,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players","Difficult to understand",20,7,19.7,0,1,0,0,1,0,0,0,0,103,0
5,1,"Have played some/familiar with the game","Do not/rarely watch sports","Female","18-25","Basketball, American Football","No","Sound on",18,5,6,"","Poor production value, Difficult to understand",20,7,19.7,0,1,0,0,1,0,0,0,0,104,0
6,1,"Experienced player","","Male","18-25","American Football, Volleyball, Hockey","No","Sound off",18,8,4,"Athleticism of the players, Length of point","Ending of point",20,7,19.7,0,1,0,0,1,0,0,0,0,105,2
7,1,"Never played, unfamiliar with game","Watch sports at least semi-regularly","Male","18-25","Basketball, Baseball, American Football, Boxing","Yes","Sound on",18,6,1,"Good production value","Point was predictable",20,7,19.7,0,1,0,0,1,0,0,0,0,106,-1
8,1,"Have played some/familiar with the game","","Female","18-25","Basketball, Tennis, American Football","No","Sound on",18,10,2,"High pace and energy of the point, Athleticism of the players","",20,7,19.7,0,1,0,0,1,0,0,0,0,107,2
9,1,"Never played, unfamiliar with game","Watch sports at least semi-regularly","Male","18-25","Basketball, Baseball, American Football","No","Sound on",18,8,2,"Athleticism of the players, Length of point","Point was too short/long",20,7,19.7,0,1,0,0,1,0,0,0,0,108,2
10,1,"Have played some/familiar with the game","","Female","18-25","Basketball, Tennis, American Football","No","Sound on",18,10,2,"High pace and energy of the point, Athleticism of the players","",20,7,19.7,0,1,0,0,1,0,0,0,0,109,2
11,1,"Experienced player","Watch sports at least semi-regularly","Male","18-25","Basketball, Tennis, Volleyball","No","Sound on",18,10,10,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players","Point was too short/long",20,7,19.7,0,1,0,0,1,0,0,0,0,110,0
12,1,"Experienced player","","Male","18-25","Baseball, American Football, Volleyball","No","Sound on",18,8,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Good production value","",20,7,19.7,0,1,0,0,1,0,0,0,0,111,-1
13,1,"Experienced player","","Male","18-25","Baseball, American Football","No","Sound on",18,8,1,"High pace and energy of the point, Athleticism of the players, Good production value","Point was predictable",20,7,19.7,0,1,0,0,1,0,0,0,0,112,3
14,1,"Have played some/familiar with the game","","Male","18-25","","Yes","Sound on",18,7,3,"High pace and energy of the point, Athleticism of the players","Point was predictable",20,7,19.7,0,1,0,0,1,0,0,0,0,113,2
15,1,"Experienced player","","Male","26-35","Soccer, Baseball, Esports","No","Sound on",18,8,1,"Athleticism of the players, Length of point","Poor production value",20,7,19.7,0,1,0,0,1,0,0,0,0,114,3
16,1,"Experienced player","","Male","18-25","American Football, Hockey, lacrosse","No","Sound on",18,8,1,"High pace and energy of the point, Athleticism of the players","Point was predictable, Point was too short/long",20,7,19.7,0,1,0,0,1,0,0,0,0,115,2
17,1,"Have played some/familiar with the game","Do not/rarely watch sports","Male","13-17","Basketball, American Football, Mans volleyball ","No","Sound on",18,6,1,"Athleticism of the players","Poor production value",20,7,19.7,0,1,0,0,1,0,0,0,0,116,0
18,1,"Experienced player","","Male","26-35","Tennis, Volleyball, Table Tennis","No","Sound on",18,7,1,"High pace and energy of the point, Athleticism of the players","Point was too short/long",20,7,19.7,0,1,0,0,1,0,0,0,0,117,4
19,1,"Experienced player","","Male","18-25","Soccer, Basketball, American Football","No","Sound off",18,9,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","",20,7,19.7,0,1,0,0,1,0,0,0,0,118,2
20,1,"Experienced player","","Male","18-25","Soccer, Basketball, American Football","No","Sound off",18,9,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","",20,7,19.7,0,1,0,0,1,0,0,0,0,119,2
